,mean
a[0],-0.806
a[1],-1.371
a[2],-0.577
a[3],-1.131
a[4],-1.484
a[5],-1.769
a[6],-0.646
a[7],-1.364
a[8],-0.301
a[9],-1.611
a[10],-1.656
a[11],-1.32
a[12],-0.926
a[13],-0.721
a[14],-1.296
a[15],-1.428
a[16],-1.072
a[17],-1.737
a[18],-1.165
a[19],-2.197
a[20],-1.625
a[21],-0.191
a[22],-1.497
a[23],-2.324
a[24],-1.62
a[25],-0.718
a[26],-0.982
a[27],-0.344
a[28],-0.595
a[29],-1.282
a[30],-0.845
a[31],-1.24
a[32],-1.143
a[33],-1.713
a[34],-0.405
a[35],-1.333
a[36],-0.802
a[37],-0.995
a[38],-0.908
a[39],-1.382
a[40],-1.546
a[41],-0.879
a[42],-1.253
a[43],-1.264
a[44],-1.097
a[45],-2.859
a[46],-0.989
a[47],-1.321
a[48],-0.777
a[49],-1.546
