,index,mean,STATE,state_r
0,a[0],-0.806,1,0
1,a[1],-1.371,2,1
2,a[2],-0.577,4,2
3,a[3],-1.131,5,3
4,a[4],-1.484,6,4
5,a[5],-1.769,8,5
6,a[6],-0.646,9,6
7,a[7],-1.364,10,7
8,a[8],-0.301,12,8
9,a[9],-1.611,13,9
10,a[10],-1.656,15,10
11,a[11],-1.32,16,11
12,a[12],-0.926,17,12
13,a[13],-0.721,18,13
14,a[14],-1.296,19,14
15,a[15],-1.428,20,15
16,a[16],-1.072,21,16
17,a[17],-1.737,22,17
18,a[18],-1.165,23,18
19,a[19],-2.197,24,19
20,a[20],-1.625,25,20
21,a[21],-0.191,26,21
22,a[22],-1.497,27,22
23,a[23],-2.324,28,23
24,a[24],-1.62,29,24
25,a[25],-0.718,30,25
26,a[26],-0.982,31,26
27,a[27],-0.344,32,27
28,a[28],-0.595,33,28
29,a[29],-1.282,34,29
30,a[30],-0.845,35,30
31,a[31],-1.24,36,31
32,a[32],-1.143,37,32
33,a[33],-1.713,38,33
34,a[34],-0.405,39,34
35,a[35],-1.333,40,35
36,a[36],-0.802,41,36
37,a[37],-0.995,42,37
38,a[38],-0.908,44,38
39,a[39],-1.382,45,39
40,a[40],-1.546,46,40
41,a[41],-0.879,47,41
42,a[42],-1.253,48,42
43,a[43],-1.264,49,43
44,a[44],-1.097,50,44
45,a[45],-2.859,51,45
46,a[46],-0.989,53,46
47,a[47],-1.321,54,47
48,a[48],-0.777,55,48
49,a[49],-1.546,56,49
